id,project number,task number,expenditure type,class category,class code,budget authority,commitments,obligations,non labor expenditures,labor expenditures,total expenditures,funds used,funds available
252,,,121.5-TSP,,,0.0,0.0,0.0,0.0,2292.57,2292.57,2292.57,-2292.57
253,,,121.6-FERS,,,0.0,0.0,0.0,0.0,7926.38,7926.38,7926.38,-7926.38
254,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,85.28,85.28,85.28,-85.28
255,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,2726.6,2726.6,2726.6,-2726.6
256,,,,,,209954.8,0.0,0.0,0.0,0.0,0.0,0.0,209954.8
257,NDU_CIVPAY_HF_26 Total,,,,,209954.8,0.0,0.0,0.0,65574.62,65574.62,65574.62,144380.18
258,NDU_CIVPAY_LIB_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,182710.27,182710.27,182710.27,-182710.27
259,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,2888.48,2888.48,2888.48,-2888.48
260,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,1107.05,1107.05,1107.05,-1107.05
261,,,111.5-Admin Leave Taken,,,0.0,0.0,0.0,0.0,88.76,88.76,88.76,-88.76
262,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,15338.16,15338.16,15338.16,-15338.16
263,,,111.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,73.18,73.18,73.18,-73.18
264,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,124331.43,124331.43,124331.43,-124331.43
265,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,10521.6,10521.6,10521.6,-10521.6
266,,,113.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,451.84,451.84,451.84,-451.84
267,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-3987.16,-3987.16,-3987.16,3987.16
268,,,121.2-CSRS,,,0.0,0.0,0.0,0.0,1328.72,1328.72,1328.72,-1328.72
269,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,25739.15,25739.15,25739.15,-25739.15
270,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,3730.47,3730.47,3730.47,-3730.47
271,,,121.5-TSP,,,0.0,0.0,0.0,0.0,12184.66,12184.66,12184.66,-12184.66
272,,,121.6-FERS,,,0.0,0.0,0.0,0.0,42868.52,42868.52,42868.52,-42868.52
273,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,514.4,514.4,514.4,-514.4
274,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,14787.18,14787.18,14787.18,-14787.18
275,,,,,,1574661.01,0.0,0.0,0.0,0.0,0.0,0.0,1574661.01
276,NDU_CIVPAY_LIB_26 Total,,,,,1574661.01,0.0,0.0,0.0,434676.71,434676.71,434676.71,1139984.3
277,NDU_CIVPAY_NDWC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,26739.68,26739.68,26739.68,-26739.68
278,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1215.44,1215.44,1215.44,-1215.44
279,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,82184.94,82184.94,82184.94,-82184.94
280,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-14439.36,-14439.36,-14439.36,14439.36
281,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1780.24,1780.24,1780.24,-1780.24
282,,,113.A-Comp Time Taken,,,0.0,0.0,0.0,0.0,-225.92,-225.92,-225.92,225.92
283,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-613.1,-613.1,-613.1,613.1
284,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,4891.35,4891.35,4891.35,-4891.35
285,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,2018.65,2018.65,2018.65,-2018.65
286,,,121.5-TSP,,,0.0,0.0,0.0,0.0,6642.46,6642.46,6642.46,-6642.46
287,,,121.6-FERS,,,0.0,0.0,0.0,0.0,24299.64,24299.64,24299.64,-24299.64
288,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,262.0,262.0,262.0,-262.0
289,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,8563.01,8563.01,8563.01,-8563.01
290,,,,,,682353.1,0.0,0.0,0.0,0.0,0.0,0.0,682353.1
291,NDU_CIVPAY_NDWC_26 Total,,,,,682353.1,0.0,0.0,0.0,143319.03,143319.03,143319.03,539034.07
292,NDU_HF_26,0100D_OPS_26,,,,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
293,NDU_HF_26 Total,,,,,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
294,NDU_LIB_26,0100D_OPS_26,,,,850000.0,0.0,0.0,0.0,0.0,0.0,0.0,850000.0
295,NDU_LIB_26 Total,,,,,850000.0,0.0,0.0,0.0,0.0,0.0,0.0,850000.0
296,NDU_NDWC_26,0100D_OPS_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,1426.81,0.0,0.0,0.0,1426.81,-1426.81
297,,,,,,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
298,NDU_NDWC_26 Total,,,,,50000.0,0.0,1426.81,0.0,0.0,0.0,1426.81,48573.19
299,,,,,,4084322.01,15444.0,6854.26,0.0,855029.65,855029.65,877327.91,3206994.1
300,NDU_CAP_26,0100D_CAP_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,,0100D_CAP_26,210.11 Per Diem CONUS,,,0.0,0.0,19388.0,0.0,0.0,0.0,19388.0,-19388.0
302,,,251.10 Management Prof Srvc,,,0.0,846293.81,0.0,0.0,0.0,0.0,846293.81,-846293.81
303,,,,,,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
304,,0100D_PIN_26,210.11 Per Diem CONUS,,,0.0,0.0,17600.0,0.0,0.0,0.0,17600.0,-17600.0
305,NDU_CAP_26 Total,,,,,1500000.0,846293.81,36988.0,0.0,0.0,0.0,883281.81,616718.19
306,NDU_CIVPAY_CAP_26,0100D_0804750JCA_26,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,47129.6,47129.6,47129.6,-47129.6
307,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,1528.0,1528.0,1528.0,-1528.0
308,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,3139.2,3139.2,3139.2,-3139.2
309,,,115.2-Holiday Premium,,,0.0,0.0,0.0,0.0,-481.28,-481.28,-481.28,481.28
310,,,115.9-Holiday Premium(H),,,0.0,0.0,0.0,0.0,-481.28,-481.28,-481.28,481.28
311,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-113.16,-113.16,-113.16,113.16
312,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,1120.56,1120.56,1120.56,-1120.56
313,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,694.02,694.02,694.02,-694.02
314,,,121.5-TSP,,,0.0,0.0,0.0,0.0,2425.03,2425.03,2425.03,-2425.03
315,,,121.6-FERS,,,0.0,0.0,0.0,0.0,8451.15,8451.15,8451.15,-8451.15
316,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,51.6,51.6,51.6,-51.6
317,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,2579.2,2579.2,2579.2,-2579.2
318,,,,,,157466.1,0.0,0.0,0.0,0.0,0.0,0.0,157466.1
319,NDU_CIVPAY_CAP_26 Total,,,,,157466.1,0.0,0.0,0.0,66042.64,66042.64,66042.64,91423.46
320,,,,,,1657466.1,846293.81,36988.0,0.0,66042.64,66042.64,949324.45,708141.65
321,NDU_CIC_26,0100D_OPS_26,,,,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0
322,NDU_CIC_26 Total,,,,,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,560000.0
323,NDU_CIVPAY_CIC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,21664.08,21664.08,21664.08,-21664.08
324,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-3055.65,-3055.65,-3055.65,3055.65
325,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,906.96,906.96,906.96,-906.96
326,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,358208.86,358208.86,358208.86,-358208.86
327,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-43228.27,-43228.27,-43228.27,43228.27
328,,,113.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,1044.88,1044.88,1044.88,-1044.88
329,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,19992.96,19992.96,19992.96,-19992.96
330,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-1678.4,-1678.4,-1678.4,1678.4
331,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,16171.72,16171.72,16171.72,-16171.72
332,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,4425.42,4425.42,4425.42,-4425.42
333,,,121.5-TSP,,,0.0,0.0,0.0,0.0,13886.75,13886.75,13886.75,-13886.75
334,,,121.6-FERS,,,0.0,0.0,0.0,0.0,52942.91,52942.91,52942.91,-52942.91
335,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,580.96,580.96,580.96,-580.96
336,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,18299.48,18299.48,18299.48,-18299.48
337,,,,,,1732127.11,0.0,0.0,0.0,0.0,0.0,0.0,1732127.11
338,NDU_CIVPAY_CIC_26 Total,,,,,1732127.11,0.0,0.0,0.0,460162.66,460162.66,460162.66,1271964.45
339,,,,,,2292127.11,0.0,0.0,0.0,460162.66,460162.66,460162.66,1831964.45
340,NDU_CISA_26,0100D_OPS_26,,,,230000.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0
341,NDU_CISA_26 Total,,,,,230000.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0
342,NDU_CIVPAY_CISA_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,25932.88,25932.88,25932.88,-25932.88
343,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-6518.16,-6518.16,-6518.16,6518.16
344,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,36.69,36.69,36.69,-36.69
345,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1394.48,1394.48,1394.48,-1394.48
346,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,140598.8,140598.8,140598.8,-140598.8
347,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-2694.72,-2694.72,-2694.72,2694.72
348,,,113.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,691.2,691.2,691.2,-691.2
349,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,9685.52,9685.52,9685.52,-9685.52
350,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-1844.97,-1844.97,-1844.97,1844.97
351,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,17550.22,17550.22,17550.22,-17550.22
352,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,2829.87,2829.87,2829.87,-2829.87
353,,,121.5-TSP,,,0.0,0.0,0.0,0.0,9420.32,9420.32,9420.32,-9420.32
354,,,121.6-FERS,,,0.0,0.0,0.0,0.0,34612.42,34612.42,34612.42,-34612.42
355,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,371.12,371.12,371.12,-371.12
356,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,12100.29,12100.29,12100.29,-12100.29
357,,,,,,734841.8,0.0,0.0,0.0,0.0,0.0,0.0,734841.8
358,,0100D_0804750JCA_JSOMA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,6127.23,6127.23,6127.23,-6127.23
359,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,587.04,587.04,587.04,-587.04
360,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,114535.2,114535.2,114535.2,-114535.2
361,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-197.24,-197.24,-197.24,197.24
362,,,113.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,147.68,147.68,147.68,-147.68
363,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,8928.96,8928.96,8928.96,-8928.96
364,,,113.B-Credit Hours Taken,,,0.0,0.0,0.0,0.0,757.12,757.12,757.12,-757.12
365,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-1077.88,-1077.88,-1077.88,1077.88
366,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,7283.84,7283.84,7283.84,-7283.84
367,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,1151.57,1151.57,1151.57,-1151.57
368,,,121.5-TSP,,,0.0,0.0,0.0,0.0,3977.59,3977.59,3977.59,-3977.59
369,,,121.6-FERS,,,0.0,0.0,0.0,0.0,13556.43,13556.43,13556.43,-13556.43
370,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,162.16,162.16,162.16,-162.16
371,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,4923.88,4923.88,4923.88,-4923.88
372,,,,,,419909.6,0.0,0.0,0.0,0.0,0.0,0.0,419909.6
373,NDU_CIVPAY_CISA_26 Total,,,,,1154751.4,0.0,0.0,0.0,405029.54,405029.54,405029.54,749721.86
374,,,,,,1384751.4,0.0,0.0,0.0,405029.54,405029.54,405029.54,979721.86
375,NDU_RES_26,0100D_OPS_26,,,,2450220.0,0.0,0.0,0.0,0.0,0.0,0.0,2450220.0
376,NDU_RES_26 Total,,,,,2450220.0,0.0,0.0,0.0,0.0,0.0,0.0,2450220.0
377,,,,,,2450220.0,0.0,0.0,0.0,0.0,0.0,0.0,2450220.0
378,NDU_CIVPAY_ES_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,32690.16,32690.16,32690.16,-32690.16
379,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,2204.58,2204.58,2204.58,-2204.58
380,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,274005.54,274005.54,274005.54,-274005.54
381,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,748.24,748.24,748.24,-748.24
382,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,19272.92,19272.92,19272.92,-19272.92
383,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-2389.55,-2389.55,-2389.55,2389.55
384,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,19687.64,19687.64,19687.64,-19687.64
385,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,4217.1,4217.1,4217.1,-4217.1
386,,,121.5-TSP,,,0.0,0.0,0.0,0.0,12359.74,12359.74,12359.74,-12359.74
387,,,121.6-FERS,,,0.0,0.0,0.0,0.0,46911.51,46911.51,46911.51,-46911.51
388,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,596.16,596.16,596.16,-596.16
389,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,16443.87,16443.87,16443.87,-16443.87
390,,,,,,1259728.81,0.0,0.0,0.0,0.0,0.0,0.0,1259728.81
391,NDU_CIVPAY_ES_26 Total,,,,,1259728.81,0.0,0.0,0.0,426747.91,426747.91,426747.91,832980.9
392,NDU_ES_26,0100D_OPS_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,9366.25,0.0,0.0,0.0,9366.25,-9366.25
393,,,,,,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0
394,NDU_ES_26 Total,,,,,900000.0,0.0,9366.25,0.0,0.0,0.0,9366.25,890633.75
395,,,,,,2159728.81,0.0,9366.25,0.0,426747.91,426747.91,436114.16,1723614.65
396,NDU_CIVPAY_INSS_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,41652.0,41652.0,41652.0,-41652.0
397,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-7669.54,-7669.54,-7669.54,7669.54
398,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1937.34,1937.34,1937.34,-1937.34
399,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,378601.64,378601.64,378601.64,-378601.64
400,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-45212.12,-45212.12,-45212.12,45212.12
401,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,18618.12,18618.12,18618.12,-18618.12
402,,,113.8-Other Leave Taken,,,0.0,0.0,0.0,0.0,393.12,393.12,393.12,-393.12
403,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-3207.78,-3207.78,-3207.78,3207.78
404,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,22480.35,22480.35,22480.35,-22480.35
405,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,5090.66,5090.66,5090.66,-5090.66
406,,,121.5-TSP,,,0.0,0.0,0.0,0.0,17403.42,17403.42,17403.42,-17403.42
407,,,121.6-FERS,,,0.0,0.0,0.0,0.0,61118.78,61118.78,61118.78,-61118.78
408,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,655.68,655.68,655.68,-655.68
409,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,18357.24,18357.24,18357.24,-18357.24
410,,,,,,1154751.4,0.0,0.0,0.0,0.0,0.0,0.0,1154751.4
411,NDU_CIVPAY_INSS_26 Total,,,,,1154751.4,0.0,0.0,0.0,510218.91,510218.91,510218.91,644532.49
412,NDU_INSS_26,0100D_OPS_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,17371.32,0.0,0.0,0.0,17371.32,-17371.32
413,,,,,,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
414,NDU_INSS_26 Total,,,,,100000.0,0.0,17371.32,0.0,0.0,0.0,17371.32,82628.68
415,,,,,,1254751.4,0.0,17371.32,0.0,510218.91,510218.91,527590.23,727161.17
416,NDU_ISMO_26,0100D_OPS_26,,,,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
417,NDU_ISMO_26 Total,,,,,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
418,,,,,,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
419,NDU_CIVPAY_JFSC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,107658.0,107658.0,107658.0,-107658.0
420,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,338.88,338.88,338.88,-338.88
421,,,111.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,-886.41,-886.41,-886.41,886.41
422,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,4668.6,4668.6,4668.6,-4668.6
423,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,439480.74,439480.74,439480.74,-439480.74
424,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-25505.52,-25505.52,-25505.52,25505.52
425,,,113.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,1530.05,1530.05,1530.05,-1530.05
426,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,24434.96,24434.96,24434.96,-24434.96
427,,,113.A-Comp Time Taken,,,0.0,0.0,0.0,0.0,476.72,476.72,476.72,-476.72
428,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-3252.9,-3252.9,-3252.9,3252.9
429,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,24043.2,24043.2,24043.2,-24043.2
430,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,7489.37,7489.37,7489.37,-7489.37
431,,,121.5-TSP,,,0.0,0.0,0.0,0.0,23601.27,23601.27,23601.27,-23601.27
432,,,121.6-FERS,,,0.0,0.0,0.0,0.0,90935.31,90935.31,90935.31,-90935.31
433,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,1002.88,1002.88,1002.88,-1002.88
434,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,32023.45,32023.45,32023.45,-32023.45
435,,,,,,2361991.51,0.0,0.0,0.0,0.0,0.0,0.0,2361991.51
436,NDU_CIVPAY_JFSC_26 Total,,,,,2361991.51,0.0,0.0,0.0,728038.6,728038.6,728038.6,1633952.91
437,NDU_JFSC_26,0100D_OPS_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,737.18,0.0,0.0,0.0,737.18,-737.18
438,,,,,,470000.0,0.0,0.0,0.0,0.0,0.0,0.0,470000.0
439,NDU_JFSC_26 Total,,,,,470000.0,0.0,737.18,0.0,0.0,0.0,737.18,469262.82
440,,,,,,2831991.51,0.0,737.18,0.0,728038.6,728038.6,728775.78,2103215.73
441,NDU_CIVPAY_NWC_26,0100D_0804750JCA_26,111.1-Labor-Regular,,,0.0,0.0,0.0,0.0,32593.11,32593.11,32593.11,-32593.11
442,,,111.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-6594.32,-6594.32,-6594.32,6594.32
443,,,111.7-Holiday Taken,,,0.0,0.0,0.0,0.0,1091.36,1091.36,1091.36,-1091.36
444,,,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,342649.92,342649.92,342649.92,-342649.92
445,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-71879.19,-71879.19,-71879.19,71879.19
446,,,113.3-Sick Leave Taken,,,0.0,0.0,0.0,0.0,549.68,549.68,549.68,-549.68
447,,,113.5-Admin Leave Taken,,,0.0,0.0,0.0,0.0,1245.76,1245.76,1245.76,-1245.76
448,,,113.7-Holiday Taken,,,0.0,0.0,0.0,0.0,13771.92,13771.92,13771.92,-13771.92
449,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-2712.93,-2712.93,-2712.93,2712.93
450,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,10138.71,10138.71,10138.71,-10138.71
451,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,3653.53,3653.53,3653.53,-3653.53
452,,,121.5-TSP,,,0.0,0.0,0.0,0.0,12059.57,12059.57,12059.57,-12059.57
453,,,121.6-FERS,,,0.0,0.0,0.0,0.0,43959.98,43959.98,43959.98,-43959.98
454,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,456.32,456.32,456.32,-456.32
455,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,14339.33,14339.33,14339.33,-14339.33
456,,,,,,1049774.0,0.0,0.0,0.0,0.0,0.0,0.0,1049774.0
457,,0100D_0804798JCA_26,113.1-Labor-Regular,,,0.0,0.0,0.0,0.0,13921.68,13921.68,13921.68,-13921.68
458,,,113.2-Annual Leave Taken,,,0.0,0.0,0.0,0.0,-6594.48,-6594.48,-6594.48,6594.48
459,,,121.1-Prepd FEHB,,,0.0,0.0,0.0,0.0,-88.85,-88.85,-88.85,88.85
460,,,121.3-FEHB,,,0.0,0.0,0.0,0.0,621.99,621.99,621.99,-621.99
461,,,121.4-Medicare,,,0.0,0.0,0.0,0.0,219.48,219.48,219.48,-219.48
462,,,121.5-TSP,,,0.0,0.0,0.0,0.0,612.56,612.56,612.56,-612.56
463,,,121.6-FERS,,,0.0,0.0,0.0,0.0,2526.79,2526.79,2526.79,-2526.79
464,,,121.7-FEGLI,,,0.0,0.0,0.0,0.0,31.04,31.04,31.04,-31.04
465,,,121.A-OASDI Employer Contrib,,,0.0,0.0,0.0,0.0,900.46,900.46,900.46,-900.46
466,,,,,,52488.7,0.0,0.0,0.0,0.0,0.0,0.0,52488.7
467,NDU_CIVPAY_NWC_26 Total,,,,,1102262.7,0.0,0.0,0.0,407473.42,407473.42,407473.42,694789.28
468,NDU_NWC_26,0100D_OPS_26,,,,59150.0,0.0,0.0,0.0,0.0,0.0,0.0,59150.0
469,,0100D_PRO_DEV_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,6680.18,0.0,0.0,0.0,6680.18,-6680.18
470,,,,,,10100.0,0.0,0.0,0.0,0.0,0.0,0.0,10100.0
471,,0100D_STD_PRAC_26,210.00 Trvl & Trans of Persons,,,0.0,0.0,283.2,0.0,0.0,0.0,283.2,-283.2
472,,,,,,750.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0
473,NDU_NWC_26 Total,,,,,70000.0,0.0,6963.38,0.0,0.0,0.0,6963.38,63036.62
474,,,,,,1172262.7,0.0,6963.38,0.0,407473.42,407473.42,414436.8,757825.9
475,,,,,,,,,,,,,
